#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz   segment_num 
1 0.02 0.004655 0.008221 0.005087 2.461477 3.142484 -0.248376 0.000000 2
1 0.02 0.004581 0.008297 0.005153 2.468782 3.142417 -0.241702 0.000000 2
1 0.02 0.004505 0.008347 0.005218 2.475323 3.142351 -0.235064 0.000000 2
1 0.02 0.004428 0.008371 0.005282 2.481338 3.142285 -0.228473 0.000000 2
1 0.02 0.004349 0.008367 0.005344 2.487223 3.142219 -0.221942 0.000000 2
1 0.02 0.004268 0.008338 0.005405 2.493376 3.142155 -0.215481 0.000000 2
1 0.02 0.004185 0.008285 0.005464 2.500049 3.142091 -0.209100 0.000000 2
1 0.02 0.004101 0.008215 0.005522 2.507297 3.142028 -0.202810 0.000000 2
1 0.02 0.004016 0.008131 0.005579 2.515023 3.141966 -0.196620 0.000000 2
1 0.02 0.003929 0.008041 0.005634 2.523037 3.141905 -0.190538 0.000000 2
1 0.02 0.003840 0.007949 0.005688 2.531108 3.141846 -0.184574 0.000000 2
1 0.02 0.003751 0.007862 0.005741 2.539011 3.141787 -0.178733 0.000000 2
1 0.02 0.003660 0.007786 0.005792 2.546564 3.141730 -0.173024 0.000000 2
1 0.02 0.003568 0.007724 0.005843 2.553663 3.141675 -0.167452 0.000000 2
1 0.02 0.003475 0.007680 0.005891 2.560309 3.141620 -0.162023 0.000000 2
1 0.02 0.003381 0.007656 0.005939 2.566618 3.141567 -0.156741 0.000000 2
1 0.02 0.003286 0.007653 0.005986 2.572794 3.141516 -0.151612 0.000000 2
1 0.02 0.003190 0.007669 0.006031 2.579065 3.141466 -0.146637 0.000000 2
1 0.02 0.003093 0.007704 0.006075 2.585606 3.141418 -0.141822 0.000000 2
1 0.02 0.002995 0.007754 0.006118 2.592497 3.141372 -0.137168 0.000000 2
1 0.02 0.002896 0.007815 0.006160 2.599718 3.141327 -0.132677 0.000000 2
1 0.02 0.002796 0.007884 0.006200 2.607177 3.141284 -0.128351 0.000000 2
1 0.02 0.002695 0.007955 0.006240 2.614742 3.141242 -0.124191 0.000000 2
1 0.02 0.002593 0.008023 0.006279 2.622272 3.141202 -0.120198 0.000000 2
1 0.02 0.002490 0.008086 0.006317 2.629647 3.141164 -0.116372 0.000000 2
1 0.02 0.002386 0.008139 0.006353 2.636789 3.141127 -0.112715 0.000000 2
1 0.02 0.002281 0.008179 0.006389 2.643683 3.141092 -0.109225 0.000000 2
1 0.02 0.002175 0.008204 0.006424 2.650377 3.141059 -0.105902 0.000000 2
